season,avage,gp,w,l,t,ol,pts,pts%,gf,ga,tg/g,evgf,evga,pp,ppo,pp%,ppa,ppoa,pk%,sh,sha,pim/g,opim/g,s,s%,sa,sv%,so
2000,27.8,82,36,32,10,4,86,0.525,226,226,5.51,155,155,63,376,16.64,63,376,83.36,9,9,15,15,2272,9.9,2272,0.901,6
2001,28,82,36,32,10,4,86,0.525,215,215,5.24,154,154,53,338,15.77,53,338,84.23,7,7,15,15,2262,9.5,2262,0.905,6
2002,28.1,82,36,31,10,5,87,0.532,218,218,5.31,150,150,60,363,16.43,60,363,83.57,8,8,14.3,14.3,2326,9.4,2326,0.906,6
2003,28,82,35,31,11,5,87,0.529,211,211,5.14,145,145,57,348,16.46,57,348,83.54,8,8,14.6,14.6,2300,9.2,2300,0.908,6
2005,28.3,82,41,32,0,9,91,0.557,248,248,6.05,153,153,85,480,17.68,85,480,82.32,11,11,15.8,15.8,2458,10.1,2458,0.899,4
2006,28.3,82,41,32,0,9,91,0.557,236,236,5.76,157,157,70,398,17.58,70,398,82.42,9,9,14.1,14.1,2426,9.7,2427,0.903,5
2007,28.2,82,41,32,0,9,91,0.555,223,223,5.44,153,153,62,351,17.75,62,351,82.25,8,8,14,14,2383,9.4,2383,0.906,5
2008,27.9,82,41,32,0,9,91,0.557,234,234,5.7,161,161,65,341,18.95,65,341,81.05,8,8,13.9,13.9,2477,9.4,2477,0.906,5
2009,27.9,82,41,31,0,10,92,0.561,227,227,5.53,165,165,56,304,18.23,56,304,81.77,6,6,12.8,12.8,2486,9.1,2486,0.909,5
2010,27.5,82,41,31,0,10,92,0.56,224,224,5.46,165,165,52,291,18.02,52,291,81.98,7,7,12.2,12.2,2492,9,2492,0.91,6
2011,27.7,82,41,31,0,10,92,0.561,218,218,5.32,165,165,47,271,17.31,47,271,82.69,6,6,11.2,11.2,2439,8.9,2439,0.911,6
2012,27.6,48,24,19,0,5,53,0.556,127,127,5.31,95,95,29,160,18.22,29,160,81.78,3,3,11.6,11.6,1399,9.1,1399,0.909,4
2013,27.5,82,41,31,0,10,92,0.562,219,219,5.34,164,164,48,269,17.89,48,269,82.11,7,7,10.9,10.9,2463,8.9,2463,0.911,5
2014,28.2,82,41,31,0,10,92,0.562,218,218,5.32,166,166,47,251,18.66,47,251,81.34,6,6,9.7,9.7,2453,8.9,2453,0.911,6
2015,28,82,41,32,0,9,91,0.556,219,219,5.34,165,165,48,255,18.66,48,255,81.34,6,6,9.7,9.7,2438,9,2438,0.91,5
2016,28,82,41,31,0,10,92,0.559,223,223,5.45,171,171,47,245,19.1,47,245,80.9,6,6,9.2,9.2,2478,9,2478,0.91,5
2017,28,82,41,31,0,10,92,0.558,242,242,5.9,184,184,50,250,20.18,50,250,79.82,7,7,8.7,8.7,2636,9.2,2638,0.908,5
